_id,room,computer,cpu,monitor,keyboard,mouse,server,barcode
6543b3e17c1fba09789e7a1e,201,201-01,201-01,201-01,201-01,201-01,n/a,(201-01)
,201,201-02,201-02,201-02,201-02,201-02,n/a,
,201,201-03,201-03,201-03,201-03,201-03,n/a,
,201,201-04,201-04,201-04,201-04,201-04,n/a,
,201,201-05,201-05,201-05,201-05,201-05,n/a,
,201,201-06,201-06,201-06,201-06,201-06,n/a,
,201,201-07,201-07,201-07,201-07,201-07,n/a,
,201,201-08,201-08,201-08,201-08,201-08,n/a,
,201,201-09,201-09,201-09,201-09,201-09,n/a,
,201,201-10,201-10,201-10,201-10,201-10,n/a,
,201,201-11,201-11,201-11,201-11,201-11,n/a,
,201,201-12,201-12,201-12,201-12,201-12,n/a,
,201,201-13,201-13,201-13,201-13,201-13,n/a,
,201,201-14,201-14,201-14,201-14,201-14,n/a,
,201,201-15,201-15,201-15,201-15,201-15,n/a,
,201,201-16,201-16,201-16,201-16,201-16,n/a,
,201,201-17,201-17,201-17,201-17,201-17,n/a,
,201,201-18,201-18,201-18,201-18,201-18,n/a,
,201,201-19,201-19,201-19,201-19,201-19,n/a,
,201,201-20,201-20,201-20,201-20,201-20,n/a,
,201,201-21,201-21,201-21,201-21,201-21,n/a,
,201,201-22,201-22,201-22,201-22,201-22,n/a,
,201,201-23,201-23,201-23,201-23,201-23,n/a,
,201,201-24,201-24,201-24,201-24,201-24,n/a,
,201,201-25,201-25,201-25,201-25,201-25,n/a,
,201,201-26,201-26,201-26,201-26,201-26,n/a,
,201,201-27,201-27,201-27,201-27,201-27,n/a,
,201,201-28,201-28,201-28,201-28,201-28,n/a,
,201,201-29,201-29,201-29,201-29,201-29,n/a,
,201,201-30,201-30,201-30,201-30,201-30,n/a,
